id,kon1,kon2,kon3,kon4,kon5,kon6,kon7,kon8,kon9,kon10,kon11,kon12,kon13,kon14,kon15,kon16,kon17,nas1,nas2,nas3,nas4,nas5,nas6,nas7,nas8,nas9,nas10,nas11,nas12,nas13,nas14,nas15,nas16,nas17,rwa1,rwa2,rwa3,rwa4,rwa5,rwa6,rwa7,rwa8,rwa9,rwa10,rwa11,rwa12,rwa13,rwa14,rwa15,sdo1,sdo2,sdo3,sdo4,sdo5,sdo6,sdo7,sdo8,sdo9,sdo10,sdo11,sdo12,sdo13,sdo14,sdo15,sdo16,rz1,rz2,rz3,rz4,rz5,rz6,rz7,rz8,rz9,rz10,rz11,rz12,rz13,rz14,rz15,rz16,tjokowi,tprabowo,preferensi,gender
381,5,4,3,5,4,7,5,3,4,1,7,4,7,5,3,6,4,5,4,3,5,6,3,3,5,3,5,1,4,1,4,2,2,3,8,2,9,2,9,7,9,3,9,9,8,6,9,1,7,6,2,3,5,3,5,3,6,5,5,2,3,3,3,3,3,4,4,5,5,4,1,4,4,4,4,3,4,4,4,5,4,15,16,6,Perempuan
383,1,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,6,7,7,7,4,4,4,7,7,4,7,4,7,7,6,4,5,5,1,1,1,9,1,3,1,5,1,5,1,1,1,1,1,1,1,1,7,1,1,1,1,2,1,1,1,1,1,1,5,5,1,1,5,1,1,1,1,1,1,1,4,1,3,1,31,91,3,Laki-Laki
387,6,5,2,4,4,7,6,2,6,5,6,4,7,7,5,5,6,5,4,5,7,7,4,7,3,1,6,1,7,4,1,7,1,7,9,7,9,1,9,3,9,2,9,9,9,4,9,2,1,6,5,6,5,2,2,4,3,5,6,7,7,2,4,2,2,4,4,5,5,4,3,3,4,3,4,4,3,4,3,5,3,21,70,3,Perempuan
389,3,2,1,2,2,7,3,5,5,5,7,3,7,5,3,5,5,5,5,6,4,3,2,2,3,3,3,1,2,1,2,1,1,3,9,8,9,1,9,3,9,4,9,4,9,9,9,8,9,5,1,5,5,3,2,1,1,1,6,1,5,1,1,1,1,5,5,5,4,4,4,5,4,5,5,5,3,4,5,5,4,72,66,3,Perempuan
390,2,4,1,1,3,5,2,4,7,1,2,1,7,1,3,6,4,6,3,3,6,6,5,7,5,2,7,4,5,1,4,7,3,7,9,7,9,1,7,5,4,3,9,9,9,1,9,9,9,7,1,1,3,1,1,1,3,1,6,1,6,1,1,3,3,5,3,5,5,4,3,4,5,4,4,5,4,5,5,5,4,20,60,1,Laki-Laki
391,5,3,2,1,1,3,5,5,1,1,4,2,6,5,4,6,2,5,3,4,6,7,5,4,4,7,5,6,4,3,5,4,5,2,8,1,6,1,4,1,3,2,9,1,8,2,7,3,8,6,1,1,6,2,1,3,2,5,6,3,3,1,2,2,3,4,4,3,5,4,1,4,3,4,2,3,3,5,4,3,3,72,60,5,Laki-Laki
393,5,4,3,1,2,6,5,3,5,1,5,4,3,4,7,7,4,4,3,5,6,4,3,3,3,2,5,2,5,5,6,5,2,1,9,1,9,1,9,5,2,1,8,1,9,1,9,1,9,7,2,4,4,2,4,3,2,2,2,2,1,1,2,1,1,2,4,4,5,2,2,3,4,3,2,2,4,4,3,4,3,27,80,2,Laki-Laki
399,4,4,5,7,6,7,7,7,5,4,6,4,6,5,5,7,6,4,4,5,4,5,3,2,4,5,5,3,5,5,5,6,5,3,8,1,8,1,6,1,8,1,8,2,7,3,8,2,9,6,3,5,5,4,3,5,3,3,3,3,3,2,3,5,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,57,11,10,Laki-Laki
401,3,3,1,2,3,6,4,7,2,2,5,2,4,3,2,2,4,2,6,5,5,3,5,1,6,6,3,3,4,4,2,2,2,2,8,3,9,1,6,1,3,2,7,7,8,1,9,4,9,4,2,2,4,2,1,1,2,2,2,3,2,1,1,1,2,4,4,4,5,3,1,4,4,4,2,3,2,5,4,4,2,51,51,6,Laki-Laki
405,4,4,3,6,7,7,4,7,5,1,7,2,4,5,6,6,5,4,3,5,3,7,6,3,3,3,6,1,4,3,2,7,3,6,9,2,7,1,8,4,9,2,8,5,8,6,6,4,9,4,2,2,2,1,1,2,4,7,7,2,4,2,3,2,2,5,4,4,4,4,2,3,3,4,2,4,2,4,5,3,3,41,82,11,Laki-Laki
407,2,2,3,3,2,6,3,2,3,1,5,1,5,6,2,2,2,6,3,6,6,7,5,6,3,5,6,2,5,5,3,5,6,3,8,2,9,1,4,2,7,2,8,1,8,2,9,1,7,6,2,3,6,2,2,2,5,2,6,2,6,1,2,1,1,4,5,5,5,2,1,4,5,4,5,2,1,5,4,5,5,21,21,5,Laki-Laki
409,4,4,4,4,7,1,1,1,1,1,4,4,4,4,1,1,1,4,4,4,4,1,7,7,7,7,7,7,4,4,4,7,7,7,9,1,7,1,9,1,9,1,9,1,9,5,9,9,9,7,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,5,5,5,5,1,3,5,5,3,3,1,101,3,Perempuan
410,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,1,3,3,3,3,3,4,4,3,4,3,4,4,4,6,3,6,4,6,4,7,4,6,4,7,3,7,4,6,4,4,5,5,4,4,3,3,4,5,4,4,4,3,4,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,41,28,7,Laki-Laki
412,2,2,3,2,5,7,3,2,5,3,6,4,6,6,3,5,3,6,5,5,6,5,3,5,6,3,5,3,5,1,5,3,6,7,7,3,9,1,9,4,9,2,9,8,9,3,9,3,9,6,3,4,5,3,1,5,3,2,2,2,2,1,1,1,1,5,5,5,5,3,1,3,1,4,2,2,4,5,4,5,4,1,91,3,Perempuan
414,6,3,6,6,7,7,5,7,5,6,7,4,6,6,2,4,4,4,2,3,3,4,3,5,3,4,3,3,3,4,2,4,5,3,8,2,9,1,5,5,8,4,6,7,7,7,6,3,4,7,2,2,4,6,2,2,2,2,6,2,6,2,2,2,2,4,4,5,4,4,2,4,5,4,2,4,1,5,4,4,4,81,29,11,Laki-Laki
416,6,5,5,5,5,7,5,5,7,7,7,7,7,7,6,7,7,5,3,4,6,5,4,1,3,1,1,1,1,1,1,7,3,1,9,7,9,2,9,3,9,3,9,9,9,9,9,9,9,7,7,7,7,1,7,6,4,7,7,7,5,1,3,2,3,5,5,5,5,5,5,5,5,5,1,4,5,5,5,5,5,96,1,11,Laki-Laki
419,5,4,4,2,5,7,4,4,4,1,4,1,4,1,1,2,1,4,1,7,4,5,5,4,4,2,4,5,5,2,6,5,3,1,9,4,8,1,5,4,6,2,5,5,7,2,8,4,8,7,1,2,3,3,1,2,1,2,3,1,2,1,1,1,1,4,4,5,5,2,1,4,1,3,1,3,2,1,5,3,4,21,74,3,Perempuan
421,3,4,2,1,4,5,3,5,6,1,4,1,4,1,1,5,1,5,2,5,3,5,3,5,5,2,2,4,2,3,4,2,4,5,7,4,8,3,8,6,3,1,6,6,6,4,8,4,8,4,3,3,6,4,3,2,1,3,6,3,5,3,4,3,3,3,4,5,4,4,1,5,1,3,2,4,2,5,5,3,4,1,1,6,Laki-Laki
423,6,2,4,2,5,6,4,2,5,2,2,2,5,1,4,6,3,6,5,5,6,5,3,3,6,2,6,7,6,2,4,6,3,4,6,2,7,1,6,2,8,3,7,6,8,8,8,3,8,6,1,1,3,3,2,2,1,5,6,6,4,1,4,3,3,4,4,4,4,4,1,4,4,4,2,4,3,4,4,4,4,2,101,2,Perempuan
